# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Jun 15 22:18:33 UTC 2026

38.60.193.247:13300 | 139ms
47.74.254.191:8900 | 114ms
146.235.18.248:45137 | 82ms
138.2.89.238:43254 | 105ms
213.35.108.135:12596 | 83ms
138.2.74.219:28616 | 79ms
129.150.36.188:53435 | 80ms
138.2.95.61:1111 | 94ms
91.192.81.154:2053 | 89ms
143.42.66.91:443 | 102ms
164.52.2.99:443 | 81ms
168.138.171.70:23280 | 86ms
213.35.100.31:47112 | 77ms
43.156.116.194:443 | 95ms
43.156.181.203:443 | 74ms
5.34.176.119:81 | 74ms
13.250.131.37:443 | 66ms
164.52.2.100:443 | 71ms
164.52.2.98:443 | 77ms

# 📊 Statistics
# Total Tested: 19
# Working: 19
# Dead: 0
# Success Rate: 100%
# Validated: Mon Jun 15 22:18:38 UTC 2026
