# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Jun 20 23:08:16 UTC 2026

38.60.193.247:13300 | 132ms
47.74.254.191:8900 | 104ms
146.235.18.248:45137 | 99ms
138.2.89.238:43254 | 104ms
213.35.108.135:12596 | 98ms
138.2.74.219:28616 | 103ms
129.150.36.188:53435 | 90ms
138.2.95.61:1111 | 121ms
45.76.183.217:49292 | 104ms
91.192.81.154:2053 | 96ms
164.52.2.100:443 | 108ms
143.42.66.91:443 | 113ms
164.52.2.98:443 | 89ms
164.52.2.99:443 | 102ms
168.138.171.70:23280 | 98ms
213.35.100.31:47112 | 87ms
43.156.116.194:443 | 96ms
43.156.181.203:443 | 97ms
5.34.176.119:81 | 115ms
91.192.81.154:8443 | 99ms
168.138.165.174:443 | 94ms

# 📊 Statistics
# Total Tested: 21
# Working: 21
# Dead: 0
# Success Rate: 100%
# Validated: Sat Jun 20 23:08:23 UTC 2026
