# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Jun 21 23:12:16 UTC 2026

38.60.193.247:13300 | 81ms
146.235.18.248:45137 | 55ms
138.2.89.238:43254 | 55ms
213.35.108.135:12596 | 79ms
47.74.254.191:8900 | 72ms
138.2.74.219:28616 | 67ms
129.150.36.188:53435 | 63ms
138.2.95.61:1111 | 68ms
45.76.183.217:49292 | 58ms
91.192.81.154:2053 | 70ms
143.42.66.91:443 | 52ms
164.52.2.100:443 | 58ms
164.52.2.99:443 | 51ms
164.52.2.98:443 | 53ms
168.138.171.70:23280 | 65ms
168.138.165.174:443 | 56ms
213.35.100.31:47112 | 53ms
43.156.181.203:443 | 54ms
43.156.116.194:443 | 56ms
5.34.176.119:81 | 52ms
91.192.81.154:8443 | 61ms
13.250.131.37:443 | 52ms

# 📊 Statistics
# Total Tested: 22
# Working: 22
# Dead: 0
# Success Rate: 100%
# Validated: Sun Jun 21 23:12:22 UTC 2026
