# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Jun 23 23:07:56 UTC 2026

38.60.193.247:13300 | 81ms
47.74.254.191:8900 | 67ms
146.235.18.248:45137 | 54ms
138.2.89.238:43254 | 54ms
213.35.108.135:12596 | 50ms
138.2.74.219:28616 | 58ms
129.150.36.188:53435 | 71ms
138.2.95.61:1111 | 59ms
45.76.183.217:49292 | 65ms
91.192.81.154:2053 | 53ms
143.42.66.91:443 | 56ms
164.52.2.100:443 | 62ms
164.52.2.98:443 | 48ms
168.138.171.70:23280 | 56ms
168.138.165.174:443 | 56ms
164.52.2.99:443 | 81ms
213.35.100.31:47112 | 63ms
43.156.116.194:443 | 59ms
43.156.181.203:443 | 56ms
5.34.176.119:81 | 50ms
91.192.81.154:8443 | 63ms
13.250.131.37:443 | 58ms

# 📊 Statistics
# Total Tested: 22
# Working: 22
# Dead: 0
# Success Rate: 100%
# Validated: Tue Jun 23 23:08:02 UTC 2026
