# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Jul  1 16:25:35 UTC 2026

38.60.193.247:13300 | 78ms
47.74.254.191:8900 | 63ms
146.235.18.248:45137 | 57ms
138.2.89.238:43254 | 51ms
213.35.108.135:12596 | 69ms
138.2.74.219:28616 | 53ms
129.150.36.188:53435 | 54ms
138.2.95.61:1111 | 48ms
45.76.183.217:49292 | 72ms
91.192.81.154:2053 | 76ms
164.52.2.100:443 | 54ms
164.52.2.98:443 | 59ms
164.52.2.99:443 | 50ms
168.138.171.70:23280 | 61ms
143.42.66.91:443 | 54ms
213.35.100.31:47112 | 53ms
43.156.116.194:443 | 51ms
43.156.181.203:443 | 52ms
5.34.176.119:81 | 59ms

# 📊 Statistics
# Total Tested: 19
# Working: 19
# Dead: 0
# Success Rate: 100%
# Validated: Wed Jul  1 16:25:40 UTC 2026
