# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Jul  2 23:06:05 UTC 2026

38.60.193.247:13300 | 213ms
47.74.254.191:8900 | 72ms
146.235.18.248:45137 | 93ms
213.35.108.135:12596 | 109ms
138.2.74.219:28616 | 121ms
129.150.36.188:53435 | 85ms
138.2.95.61:1111 | 72ms
45.76.183.217:49292 | 92ms
164.52.2.100:443 | 85ms
168.138.171.70:23280 | 90ms
164.52.2.98:443 | 108ms
164.52.2.99:443 | 110ms
143.42.66.91:443 | 84ms
213.35.100.31:47112 | 82ms
43.156.116.194:443 | 77ms
43.156.181.203:443 | 78ms
168.138.165.174:443 | 103ms
5.34.176.119:81 | 92ms
13.250.131.37:443 | 73ms

# 📊 Statistics
# Total Tested: 19
# Working: 19
# Dead: 0
# Success Rate: 100%
# Validated: Thu Jul  2 23:06:11 UTC 2026
