# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Jul  6 21:37:57 UTC 2026

38.60.193.247:13300 | 92ms
47.74.254.191:8900 | 77ms
146.235.18.248:45137 | 62ms
213.35.108.135:12596 | 71ms
138.2.74.219:28616 | 73ms
129.150.36.188:53435 | 140ms
138.2.95.61:1111 | 53ms
45.76.183.217:49292 | 67ms
91.192.81.154:2053 | 51ms
164.52.2.100:443 | 71ms
164.52.2.98:443 | 70ms
164.52.2.99:443 | 51ms
168.138.171.70:23280 | 101ms
213.35.100.31:47112 | 59ms
143.42.66.91:443 | 106ms
43.156.116.194:443 | 72ms
43.156.181.203:443 | 61ms
5.34.176.119:81 | 63ms

# 📊 Statistics
# Total Tested: 18
# Working: 18
# Dead: 0
# Success Rate: 100%
# Validated: Mon Jul  6 21:38:03 UTC 2026
