# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Jul  7 20:07:00 UTC 2026

38.60.193.247:13300 | 128ms
47.74.254.191:8900 | 82ms
146.235.18.248:45137 | 88ms
213.35.108.135:12596 | 92ms
138.2.74.219:28616 | 84ms
129.150.36.188:53435 | 116ms
138.2.95.61:1111 | 79ms
45.76.183.217:49292 | 67ms
91.192.81.154:2053 | 70ms
143.42.66.91:443 | 73ms
164.52.2.100:443 | 83ms
164.52.2.98:443 | 70ms
164.52.2.99:443 | 75ms
168.138.171.70:23280 | 104ms
168.138.165.174:443 | 95ms
213.35.100.31:47112 | 71ms
43.156.116.194:443 | 70ms
43.156.181.203:443 | 91ms
5.34.176.119:81 | 66ms
13.250.131.37:443 | 72ms

# 📊 Statistics
# Total Tested: 20
# Working: 20
# Dead: 0
# Success Rate: 100%
# Validated: Tue Jul  7 20:07:06 UTC 2026
