# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Jul 14 22:55:43 UTC 2026

38.60.193.247:13300 | 88ms
47.74.254.191:8900 | 67ms
146.235.18.248:45137 | 66ms
213.35.108.135:12596 | 61ms
138.2.74.219:28616 | 50ms
129.150.36.188:53435 | 73ms
138.2.95.61:1111 | 44ms
45.76.183.217:49292 | 49ms
91.192.81.154:2053 | 50ms
143.42.66.91:443 | 63ms
164.52.2.100:443 | 46ms
164.52.2.98:443 | 51ms
168.138.171.70:23280 | 51ms
164.52.2.99:443 | 51ms
213.35.100.31:47112 | 52ms
43.156.116.194:443 | 47ms
43.156.181.203:443 | 48ms
5.34.176.119:81 | 50ms
13.250.131.37:443 | 52ms

# 📊 Statistics
# Total Tested: 19
# Working: 19
# Dead: 0
# Success Rate: 100%
# Validated: Tue Jul 14 22:55:48 UTC 2026
