# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Jul 22 19:17:40 UTC 2026

38.60.193.247:13300 | 193ms
47.74.254.191:8900 | 186ms
146.235.18.248:45137 | 110ms
213.35.108.135:12596 | 133ms
138.2.74.219:28616 | 123ms
129.150.36.188:53435 | 112ms
138.2.95.61:1111 | 128ms
45.76.183.217:49292 | 123ms
91.192.81.154:2053 | 128ms
143.42.66.91:443 | 120ms
164.52.2.100:443 | 133ms
164.52.2.98:443 | 124ms
164.52.2.99:443 | 112ms
168.138.171.70:23280 | 128ms
168.138.165.174:443 | 127ms
213.35.100.31:47112 | 124ms
43.156.116.194:443 | 110ms
43.156.181.203:443 | 114ms
5.34.176.119:81 | 102ms
91.192.81.154:8443 | 153ms

# 📊 Statistics
# Total Tested: 20
# Working: 20
# Dead: 0
# Success Rate: 100%
# Validated: Wed Jul 22 19:17:47 UTC 2026
