# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Jul 23 17:24:47 UTC 2026

47.74.254.191:8900 | 111ms
146.235.18.248:45137 | 109ms
213.35.108.135:12596 | 98ms
138.2.74.219:28616 | 110ms
129.150.36.188:53435 | 88ms
138.2.95.61:1111 | 140ms
45.76.183.217:49292 | 98ms
91.192.81.154:2053 | 100ms
143.42.66.91:443 | 109ms
164.52.2.100:443 | 111ms
164.52.2.98:443 | 99ms
168.138.171.70:23280 | 111ms
164.52.2.99:443 | 89ms
213.35.100.31:47112 | 100ms
168.138.165.174:443 | 103ms
43.156.116.194:443 | 75ms
43.156.181.203:443 | 109ms
91.192.81.154:8443 | 88ms

# 📊 Statistics
# Total Tested: 18
# Working: 18
# Dead: 0
# Success Rate: 100%
# Validated: Thu Jul 23 17:24:52 UTC 2026
