# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Jul 25 19:05:48 UTC 2026

47.74.254.191:8900 | 70ms
146.235.18.248:45137 | 61ms
213.35.108.135:12596 | 58ms
138.2.74.219:28616 | 49ms
129.150.36.188:53435 | 51ms
138.2.95.61:1111 | 51ms
45.76.183.217:49292 | 51ms
91.192.81.154:2053 | 74ms
143.42.66.91:443 | 50ms
164.52.2.100:443 | 49ms
164.52.2.98:443 | 56ms
164.52.2.99:443 | 53ms
168.138.171.70:23280 | 55ms
168.138.165.174:443 | 87ms
213.35.100.31:47112 | 59ms
43.156.116.194:443 | 50ms
43.156.181.203:443 | 51ms
5.34.176.119:81 | 46ms
13.250.131.37:443 | 51ms
91.192.81.154:8443 | 52ms

# 📊 Statistics
# Total Tested: 20
# Working: 20
# Dead: 0
# Success Rate: 100%
# Validated: Sat Jul 25 19:05:54 UTC 2026
