# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Jul 26 22:57:43 UTC 2026

47.74.254.191:8900 | 80ms
146.235.18.248:45137 | 52ms
213.35.108.135:12596 | 76ms
138.2.74.219:28616 | 47ms
129.150.36.188:53435 | 79ms
138.2.95.61:1111 | 52ms
45.76.183.217:49292 | 65ms
91.192.81.154:2053 | 48ms
143.42.66.91:443 | 66ms
164.52.2.100:443 | 57ms
164.52.2.98:443 | 54ms
164.52.2.99:443 | 70ms
168.138.165.174:443 | 53ms
168.138.171.70:23280 | 54ms
213.35.100.31:47112 | 65ms
43.156.116.194:443 | 56ms
43.156.181.203:443 | 55ms
5.34.176.119:81 | 54ms
91.192.81.154:8443 | 62ms

# 📊 Statistics
# Total Tested: 19
# Working: 19
# Dead: 0
# Success Rate: 100%
# Validated: Sun Jul 26 22:57:48 UTC 2026
