# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Aug  7 20:39:17 UTC 2026

47.74.254.191:8900 | 222ms
146.235.18.248:45137 | 120ms
213.35.108.135:12596 | 158ms
138.2.74.219:28616 | 155ms
129.150.36.188:53435 | 150ms
138.2.95.61:1111 | 180ms
143.42.66.91:443 | 175ms
164.52.2.100:443 | 128ms
164.52.2.99:443 | 126ms
164.52.2.98:443 | 141ms
168.138.171.70:23280 | 125ms
213.35.100.31:47112 | 128ms
43.156.116.194:443 | 141ms
5.34.176.119:81 | 112ms

# 📊 Statistics
# Total Tested: 14
# Working: 14
# Dead: 0
# Success Rate: 100%
# Validated: Fri Aug  7 20:39:23 UTC 2026
