# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Aug  9 12:48:13 UTC 2026

47.74.254.191:8900 | 184ms
146.235.18.248:45137 | 79ms
138.2.74.219:28616 | 74ms
129.150.36.188:53435 | 63ms
213.35.108.135:12596 | 63ms
138.2.95.61:1111 | 83ms
91.192.81.154:2053 | 71ms
143.42.66.91:443 | 63ms
164.52.2.100:443 | 64ms
168.138.171.70:23280 | 66ms
164.52.2.99:443 | 63ms
168.138.165.174:443 | 71ms
164.52.2.98:443 | 76ms
213.35.100.31:47112 | 67ms
5.34.176.119:81 | 63ms
91.192.81.154:8443 | 76ms

# 📊 Statistics
# Total Tested: 16
# Working: 16
# Dead: 0
# Success Rate: 100%
# Validated: Sun Aug  9 12:48:18 UTC 2026
