# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Aug 10 16:52:33 UTC 2026

47.74.254.191:8900 | 70ms
146.235.18.248:45137 | 51ms
213.35.108.135:12596 | 73ms
138.2.74.219:28616 | 72ms
129.150.36.188:53435 | 69ms
138.2.95.61:1111 | 52ms
143.42.66.91:443 | 107ms
164.52.2.100:443 | 71ms
164.52.2.99:443 | 55ms
164.52.2.98:443 | 49ms
168.138.171.70:23280 | 71ms
213.35.100.31:47112 | 72ms
43.156.181.203:443 | 50ms
5.34.176.119:81 | 58ms
168.138.165.174:443 | 72ms

# 📊 Statistics
# Total Tested: 15
# Working: 15
# Dead: 0
# Success Rate: 100%
# Validated: Mon Aug 10 16:52:37 UTC 2026
