# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Aug 12 20:41:58 UTC 2026

47.74.254.191:8900 | 123ms
146.235.18.248:45137 | 121ms
213.35.108.135:12596 | 123ms
138.2.74.219:28616 | 121ms
129.150.36.188:53435 | 98ms
138.2.95.61:1111 | 130ms
143.42.66.91:443 | 98ms
164.52.2.100:443 | 100ms
164.52.2.99:443 | 114ms
164.52.2.98:443 | 99ms
168.138.171.70:23280 | 93ms
168.138.165.174:443 | 85ms
213.35.100.31:47112 | 65ms
43.156.116.194:443 | 100ms
43.156.181.203:443 | 100ms
5.34.176.119:81 | 83ms
13.250.131.37:443 | 86ms

# 📊 Statistics
# Total Tested: 17
# Working: 17
# Dead: 0
# Success Rate: 100%
# Validated: Wed Aug 12 20:42:04 UTC 2026
