# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Aug 16 20:20:12 UTC 2026

146.235.18.248:45137 | 89ms
47.74.254.191:8900 | 67ms
213.35.108.135:12596 | 64ms
138.2.74.219:28616 | 83ms
129.150.36.188:53435 | 75ms
138.2.95.61:1111 | 63ms
143.42.66.91:443 | 82ms
164.52.2.100:443 | 63ms
164.52.2.99:443 | 66ms
164.52.2.98:443 | 69ms
168.138.171.70:23280 | 66ms
213.35.100.31:47112 | 69ms
43.156.116.194:443 | 62ms
43.156.181.203:443 | 71ms
5.34.176.119:81 | 80ms

# 📊 Statistics
# Total Tested: 15
# Working: 15
# Dead: 0
# Success Rate: 100%
# Validated: Sun Aug 16 20:20:16 UTC 2026
