# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Aug 18 14:32:09 UTC 2026

47.74.254.191:8900 | 244ms
213.35.108.135:12596 | 92ms
146.235.18.248:45137 | 84ms
138.2.74.219:28616 | 56ms
129.150.36.188:53435 | 57ms
138.2.95.61:1111 | 84ms
143.42.66.91:443 | 93ms
164.52.2.100:443 | 80ms
164.52.2.98:443 | 68ms
168.138.171.70:23280 | 55ms
164.52.2.99:443 | 56ms
213.35.100.31:47112 | 79ms
43.156.116.194:443 | 57ms
43.156.181.203:443 | 63ms
5.34.176.119:81 | 65ms
13.250.131.37:443 | 68ms

# 📊 Statistics
# Total Tested: 16
# Working: 16
# Dead: 0
# Success Rate: 100%
# Validated: Tue Aug 18 14:32:14 UTC 2026
