# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Aug 20 18:37:07 UTC 2026

47.74.254.191:8900 | 68ms
146.235.18.248:45137 | 50ms
213.35.108.135:12596 | 47ms
138.2.74.219:28616 | 48ms
129.150.36.188:53435 | 51ms
143.42.66.91:443 | 61ms
164.52.2.100:443 | 42ms
164.52.2.99:443 | 46ms
164.52.2.98:443 | 54ms
213.35.100.31:47112 | 54ms
43.156.116.194:443 | 46ms
43.156.181.203:443 | 49ms
5.34.176.119:81 | 42ms

# 📊 Statistics
# Total Tested: 13
# Working: 13
# Dead: 0
# Success Rate: 100%
# Validated: Thu Aug 20 18:37:10 UTC 2026
