# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Aug 29 23:53:58 UTC 2026

47.74.254.191:8900 | 153ms
146.235.18.248:45137 | 137ms
138.2.74.219:28616 | 155ms
129.150.36.188:53435 | 128ms
164.52.2.100:443 | 104ms
164.52.2.98:443 | 143ms
164.52.2.99:443 | 98ms
168.138.165.174:443 | 123ms
143.42.66.91:443 | 99ms
213.35.100.31:47112 | 91ms
43.156.116.194:443 | 109ms
43.156.181.203:443 | 120ms
5.34.176.119:81 | 78ms
13.250.131.37:443 | 117ms

# 📊 Statistics
# Total Tested: 14
# Working: 14
# Dead: 0
# Success Rate: 100%
# Validated: Sat Aug 29 23:54:03 UTC 2026
