# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Sep  1 22:24:03 UTC 2026

47.74.254.191:8900 | 83ms
146.235.18.248:45137 | 62ms
138.2.74.219:28616 | 106ms
129.150.36.188:53435 | 60ms
164.52.2.100:443 | 71ms
143.42.66.91:443 | 85ms
164.52.2.98:443 | 53ms
164.52.2.99:443 | 55ms
168.138.165.174:443 | 50ms
213.35.100.31:47112 | 54ms
43.156.116.194:443 | 60ms
43.156.181.203:443 | 53ms
5.34.176.119:81 | 58ms
13.250.131.37:443 | 59ms

# 📊 Statistics
# Total Tested: 14
# Working: 14
# Dead: 0
# Success Rate: 100%
# Validated: Tue Sep  1 22:24:07 UTC 2026
