# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Sep  2 22:23:29 UTC 2026

47.74.254.191:8900 | 112ms
146.235.18.248:45137 | 84ms
138.2.74.219:28616 | 77ms
129.150.36.188:53435 | 81ms
164.52.2.100:443 | 119ms
164.52.2.99:443 | 76ms
164.52.2.98:443 | 70ms
168.138.165.174:443 | 83ms
143.42.66.91:443 | 76ms
213.35.100.31:47112 | 67ms
43.156.116.194:443 | 92ms
43.156.181.203:443 | 78ms
5.34.176.119:81 | 117ms
13.250.131.37:443 | 85ms

# 📊 Statistics
# Total Tested: 14
# Working: 14
# Dead: 0
# Success Rate: 100%
# Validated: Wed Sep  2 22:23:33 UTC 2026
