# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Sep  5 22:00:55 UTC 2026

47.74.254.191:8900 | 194ms
146.235.18.248:45137 | 147ms
138.2.74.219:28616 | 175ms
129.150.36.188:53435 | 197ms
143.42.66.91:443 | 127ms
164.52.2.100:443 | 132ms
164.52.2.98:443 | 124ms
164.52.2.99:443 | 111ms
213.35.100.31:47112 | 131ms
43.156.181.203:443 | 176ms
43.156.116.194:443 | 126ms
5.34.176.119:81 | 133ms

# 📊 Statistics
# Total Tested: 12
# Working: 12
# Dead: 0
# Success Rate: 100%
# Validated: Sat Sep  5 22:01:00 UTC 2026
