# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Sep 14 21:32:58 UTC 2026

47.74.254.191:8900 | 221ms
146.235.18.248:45137 | 133ms
138.2.74.219:28616 | 111ms
129.150.36.188:53435 | 89ms
143.42.66.91:443 | 114ms
164.52.2.100:443 | 100ms
164.52.2.98:443 | 200ms
164.52.2.99:443 | 108ms
213.35.100.31:47112 | 108ms
43.156.181.203:443 | 209ms
43.156.116.194:443 | 98ms
5.34.176.119:81 | 150ms

# 📊 Statistics
# Total Tested: 12
# Working: 12
# Dead: 0
# Success Rate: 100%
# Validated: Mon Sep 14 21:33:02 UTC 2026
