# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Sep 15 23:58:18 UTC 2026

47.74.254.191:8900 | 99ms
146.235.18.248:45137 | 64ms
138.2.74.219:28616 | 70ms
129.150.36.188:53435 | 79ms
143.42.66.91:443 | 69ms
164.52.2.100:443 | 64ms
164.52.2.98:443 | 91ms
164.52.2.99:443 | 65ms
213.35.100.31:47112 | 67ms
43.156.181.203:443 | 78ms
43.156.116.194:443 | 68ms
5.34.176.119:81 | 70ms

# 📊 Statistics
# Total Tested: 12
# Working: 12
# Dead: 0
# Success Rate: 100%
# Validated: Tue Sep 15 23:58:22 UTC 2026
