# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Sep 17 23:55:13 UTC 2026

47.74.254.191:8900 | 121ms
146.235.18.248:45137 | 68ms
138.2.74.219:28616 | 71ms
129.150.36.188:53435 | 108ms
143.42.66.91:443 | 88ms
164.52.2.100:443 | 76ms
164.52.2.98:443 | 70ms
164.52.2.99:443 | 88ms
213.35.100.31:47112 | 68ms
43.156.181.203:443 | 75ms
43.156.116.194:443 | 75ms
5.34.176.119:81 | 70ms

# 📊 Statistics
# Total Tested: 12
# Working: 12
# Dead: 0
# Success Rate: 100%
# Validated: Thu Sep 17 23:55:17 UTC 2026
